가맹점코드,가맹점명,사업자등록번호,지류취급여부,전자취급여부,모바일취급여부,한도금액
13811000166,오마이옷,5070573260,Y,Y,N,3100000
46210900016,현대청과,1299292989,Y,N,N,3100000
44510300913,주식회사조암월드마트,1248179461,Y,Y,Y,10000000
40310400272,충북상회,1229003031,Y,Y,N,3100000
5164200036,빛고을식당,1553700043,Y,Y,Y,3100000
5418200006,네일도 예쁨,7201102578,Y,Y,Y,3100000
5164200039,스트라이크존 고트 봉선구장,5794900112,Y,Y,Y,3100000
5210200028,디자인마커스,4103005252,Y,Y,Y,3100000
3064200003,대박분식,2071951780,Y,N,N,3100000
9060200006,르끌로,7033101378,Y,Y,Y,3100000
50010200026,인천젓갈집,4099003976,Y,Y,Y,3100000
15610800091,은혜야채가게,1199823605,Y,Y,Y,3100000
44710100039,옥천족발,1244033860,Y,Y,Y,3100000
79010200158,순이상회,2259201184,Y,Y,Y,3100000
9135200023,블랙콩 안양지하상가점,5613800605,Y,N,N,3100000
67010100207,거창축산물공판장,2409600595,Y,Y,Y,3100000
71810600086,왜관냉동,5139050384,Y,Y,Y,3100000
55010200178,자매방앗간,4171040529,Y,Y,Y,3100000
64113000054,투보이,6090180832,Y,Y,Y,3100000
69710200087,토종식육점,6169160209,Y,Y,Y,3100000
70110100016,목화혼수방,7894400067,Y,Y,Y,3100000
11011900486,동방상사,1103856385,Y,Y,Y,3100000
70010600553,명신,5030454925,Y,Y,Y,3100000
42010400067,함나견과류마트,3314500467,Y,Y,Y,3100000
33911200031,써니텐,2981201405,Y,Y,Y,3100000
34310600187,스타일노리터,2570500241,Y,N,N,3100000
60010100103,영도상회,5713300704,Y,Y,Y,5000000
70210500420,대림,4190500475,Y,Y,Y,10000000
2043200004,부산인삼탕제원,6070736536,Y,Y,Y,3100000
1063200005,유창지하47호,2069223566,Y,N,N,10000000
64110800359,아리따울유,6090748794,Y,Y,Y,3100000
1270200003,바다식품,8939901346,Y,Y,Y,3100000
13710300143,더예스,2082054447,Y,Y,Y,3100000
50210100075,화성상사,4100934675,Y,Y,Y,3100000
15710400024,남도김치,4820800590,Y,Y,Y,3100000
40310414796,나주면옥,3796600256,Y,Y,Y,3100000
44510300012,파리바게트 조암점,1210951911,Y,Y,Y,3100000
37310200051,북경루,3050188626,Y,Y,Y,3100000
64111300123,아이러브아이스크림,7120500656,Y,N,N,3100000
1393200026,장익,2568200268,Y,N,N,3100000
